OrderDate,Customer Id,Region,OrderID,Product,Quantity,UnitPrice
6/30/2024,Cus1045,South,1018,Gloves,12,25
7/31/2024,Cus1075,East,1019,Shoes,5,15
8/31/2024,Cus1015,West,1020,Hat,7,50
1/31/2023,Cus1493,North,1001,Shirt,5,20
2/28/2023,Cus1068,South,1002,Shoes,10,50
3/31/2023,Cus1483,East,1003,Hat,7,15
4/30/2023,Cus1279,West,1004,Socks,3,5
5/31/2023,Cus1082,North,1005,Jacket,2,60
6/30/2023,Cus1408,South,1006,Gloves,8,25
7/31/2023,Cus1136,East,1007,Shirt,12,40
8/31/2023,Cus1133,West,1008,Shoes,4,15
9/30/2023,Cus1306,North,1009,Hat,7,10
10/31/2023,Cus1486,South,1010,Socks,9,30
11/30/2023,Cus1422,East,1011,Jacket,6,35
12/31/2023,Cus1318,West,1012,Gloves,5,20
1/31/2024,Cus1184,North,1013,Shirt,8,50
2/29/2024,Cus1240,South,1014,Shoes,10,60
3/31/2024,Cus1118,East,1015,Hat,11,10
4/30/2024,Cus1472,West,1016,Socks,4,20
5/31/2024,Cus1134,North,1017,Jacket,3,30
6/30/2024,Cus1251,South,1018,Gloves,12,25
7/31/2024,Cus1345,East,1019,Shoes,5,15
8/31/2024,Cus1150,West,1020,Hat,7,50
1/31/2023,Cus1283,North,1001,Shirt,5,20
2/28/2023,Cus1044,South,1002,Shoes,10,50
3/31/2023,Cus1345,East,1003,Hat,7,15
4/30/2023,Cus1425,West,1004,Socks,3,5
5/31/2023,Cus1215,North,1005,Jacket,2,60
6/30/2023,Cus1193,South,1006,Gloves,8,25
7/31/2023,Cus1332,East,1007,Shirt,12,40
8/31/2023,Cus1361,West,1008,Shoes,4,15
9/30/2023,Cus1088,North,1009,Hat,7,10
10/31/2023,Cus1186,South,1010,Socks,9,30
11/30/2023,Cus1148,East,1011,Jacket,6,35
12/31/2023,Cus1343,West,1012,Gloves,5,20
1/31/2024,Cus1316,North,1013,Shirt,8,50
2/29/2024,Cus1114,South,1014,Shoes,10,60
3/31/2024,Cus1293,East,1015,Hat,11,10
4/30/2024,Cus1211,West,1016,Socks,4,20
5/31/2024,Cus1060,North,1017,Jacket,3,30
6/30/2024,Cus1388,South,1018,Gloves,12,25
7/31/2024,Cus1141,East,1019,Shoes,5,15
8/31/2024,Cus1035,West,1020,Hat,7,50
1/31/2023,Cus1188,North,1001,Shirt,5,20
2/28/2023,Cus1036,South,1002,Shoes,10,50
3/31/2023,Cus1031,East,1003,Hat,7,15
4/30/2023,Cus1369,West,1004,Socks,3,5
5/31/2023,Cus1128,North,1005,Jacket,2,60
6/30/2023,Cus1450,South,1006,Gloves,8,25
7/31/2023,Cus1111,East,1007,Shirt,12,40
8/31/2023,Cus1402,West,1008,Shoes,4,15
9/30/2023,Cus1063,North,1009,Hat,7,10
10/31/2023,Cus1367,South,1010,Socks,9,30
11/30/2023,Cus1198,East,1011,Jacket,6,35
12/31/2023,Cus1301,West,1012,Gloves,5,20
1/31/2024,Cus1128,North,1013,Shirt,8,50
2/29/2024,Cus1257,South,1014,Shoes,10,60
3/31/2024,Cus1373,East,1015,Hat,11,10
4/30/2024,Cus1273,West,1016,Socks,4,20
5/31/2024,Cus1099,North,1017,Jacket,3,30
6/30/2024,Cus1275,South,1018,Gloves,12,25
7/31/2024,Cus1318,East,1019,Shoes,5,15
8/31/2024,Cus1108,West,1020,Hat,7,50
1/31/2023,Cus1084,North,1001,Shirt,5,20
2/28/2023,Cus1113,South,1002,Shoes,10,50
3/31/2023,Cus1064,East,1003,Hat,7,15
4/30/2023,Cus1254,West,1004,Socks,3,5
5/31/2023,Cus1399,North,1005,Jacket,2,60
6/30/2023,Cus1210,South,1006,Gloves,8,25
7/31/2023,Cus1267,East,1007,Shirt,12,40
8/31/2023,Cus1231,West,1008,Shoes,4,15
9/30/2023,Cus1410,North,1009,Hat,7,10
10/31/2023,Cus1433,South,1010,Socks,9,30
11/30/2023,Cus1056,East,1011,Jacket,6,35
12/31/2023,Cus1203,West,1012,Gloves,5,20
1/31/2024,Cus1387,North,1013,Shirt,8,50
2/29/2024,Cus1484,South,1014,Shoes,10,60
3/31/2024,Cus1423,East,1015,Hat,11,10
4/30/2024,Cus1135,West,1016,Socks,4,20
5/31/2024,Cus1123,North,1017,Jacket,3,30
6/30/2024,Cus1179,South,1018,Gloves,12,25
7/31/2024,Cus1296,East,1019,Shoes,5,15
8/31/2024,Cus1444,West,1020,Hat,7,50
1/31/2023,Cus1066,North,1001,Shirt,5,20
2/28/2023,Cus1096,South,1002,Shoes,10,50
3/31/2023,Cus1252,East,1003,Hat,7,15
4/30/2023,Cus1071,West,1004,Socks,3,5
5/31/2023,Cus1181,North,1005,Jacket,2,60
6/30/2023,Cus1428,South,1006,Gloves,8,25
7/31/2023,Cus1177,East,1007,Shirt,12,40
8/31/2023,Cus1035,West,1008,Shoes,4,15
9/30/2023,Cus1406,North,1009,Hat,7,10
10/31/2023,Cus1120,South,1010,Socks,9,30
11/30/2023,Cus1092,East,1011,Jacket,6,35
12/31/2023,Cus1374,West,1012,Gloves,5,20
1/31/2024,Cus1384,North,1013,Shirt,8,50
2/29/2024,Cus1046,South,1014,Shoes,10,60
3/31/2024,Cus1308,East,1015,Hat,11,10
4/30/2024,Cus1105,West,1016,Socks,4,20
5/31/2024,Cus1493,North,1017,Jacket,3,30
6/30/2024,Cus1372,South,1018,Gloves,12,25
7/31/2024,Cus1233,East,1019,Shoes,5,15
8/31/2024,Cus1322,West,1020,Hat,7,50
1/31/2023,Cus1371,North,1001,Shirt,5,20
2/28/2023,Cus1402,South,1002,Shoes,10,50
3/31/2023,Cus1207,East,1003,Hat,7,15
4/30/2023,Cus1280,West,1004,Socks,3,5
5/31/2023,Cus1041,North,1005,Jacket,2,60
6/30/2023,Cus1325,South,1006,Gloves,8,25
7/31/2023,Cus1069,East,1007,Shirt,12,40
8/31/2023,Cus1227,West,1008,Shoes,4,15
9/30/2023,Cus1487,North,1009,Hat,7,10
10/31/2023,Cus1272,South,1010,Socks,9,30
11/30/2023,Cus1238,East,1011,Jacket,6,35
12/31/2023,Cus1105,West,1012,Gloves,5,20
1/31/2024,Cus1493,North,1013,Shirt,8,50
2/29/2024,Cus1441,South,1014,Shoes,10,60
3/31/2024,Cus1022,East,1015,Hat,11,10
4/30/2024,Cus1132,West,1016,Socks,4,20
5/31/2024,Cus1071,North,1017,Jacket,3,30
6/30/2024,Cus1457,South,1018,Gloves,12,25
7/31/2024,Cus1101,East,1019,Shoes,5,15
8/31/2024,Cus1021,West,1020,Hat,7,50
1/31/2023,Cus1083,North,1001,Shirt,5,20
2/28/2023,Cus1231,South,1002,Shoes,10,50
3/31/2023,Cus1027,East,1003,Hat,7,15
4/30/2023,Cus1465,West,1004,Socks,3,5
5/31/2023,Cus1098,North,1005,Jacket,2,60
6/30/2023,Cus1119,South,1006,Gloves,8,25
7/31/2023,Cus1496,East,1007,Shirt,12,40
8/31/2023,Cus1173,West,1008,Shoes,4,15
9/30/2023,Cus1206,North,1009,Hat,7,10
10/31/2023,Cus1282,South,1010,Socks,9,30
11/30/2023,Cus1266,East,1011,Jacket,6,35
12/31/2023,Cus1261,West,1012,Gloves,5,20
1/31/2024,Cus1345,North,1013,Shirt,8,50
2/29/2024,Cus1419,South,1014,Shoes,10,60
3/31/2024,Cus1347,East,1015,Hat,11,10
4/30/2024,Cus1279,West,1016,Socks,4,20
5/31/2024,Cus1097,North,1017,Jacket,3,30
6/30/2024,Cus1346,South,1018,Gloves,12,25
7/31/2024,Cus1084,East,1019,Shoes,5,15
8/31/2024,Cus1265,West,1020,Hat,7,50
1/31/2023,Cus1459,North,1001,Shirt,5,20
2/28/2023,Cus1493,South,1002,Shoes,10,50
3/31/2023,Cus1093,East,1003,Hat,7,15
4/30/2023,Cus1145,West,1004,Socks,3,5
5/31/2023,Cus1016,North,1005,Jacket,2,60
6/30/2023,Cus1347,South,1006,Gloves,8,25
7/31/2023,Cus1405,East,1007,Shirt,12,40
8/31/2023,Cus1413,West,1008,Shoes,4,15
9/30/2023,Cus1032,North,1009,Hat,7,10
10/31/2023,Cus1208,South,1010,Socks,9,30
11/30/2023,Cus1226,East,1011,Jacket,6,35
12/31/2023,Cus1472,West,1012,Gloves,5,20
1/31/2024,Cus1482,North,1013,Shirt,8,50
2/29/2024,Cus1480,South,1014,Shoes,10,60
3/31/2024,Cus1367,East,1015,Hat,11,10
4/30/2024,Cus1127,West,1016,Socks,4,20
5/31/2024,Cus1344,North,1017,Jacket,3,30
6/30/2024,Cus1456,South,1018,Gloves,12,25
7/31/2024,Cus1213,East,1019,Shoes,5,15
8/31/2024,Cus1242,West,1020,Hat,7,50
1/31/2023,Cus1058,North,1001,Shirt,5,20
2/28/2023,Cus1013,South,1002,Shoes,10,50
3/31/2023,Cus1008,East,1003,Hat,7,15
4/30/2023,Cus1091,West,1004,Socks,3,5
5/31/2023,Cus1270,North,1005,Jacket,2,60
6/30/2023,Cus1013,South,1006,Gloves,8,25
7/31/2023,Cus1283,East,1007,Shirt,12,40
8/31/2023,Cus1017,West,1008,Shoes,4,15
9/30/2023,Cus1280,North,1009,Hat,7,10
10/31/2023,Cus1319,South,1010,Socks,9,30
11/30/2023,Cus1367,East,1011,Jacket,6,35
12/31/2023,Cus1137,West,1012,Gloves,5,20
1/31/2024,Cus1178,North,1013,Shirt,8,50
2/29/2024,Cus1084,South,1014,Shoes,10,60
3/31/2024,Cus1190,East,1015,Hat,11,10
4/30/2024,Cus1395,West,1016,Socks,4,20
5/31/2024,Cus1152,North,1017,Jacket,3,30
6/30/2024,Cus1207,South,1018,Gloves,12,25
7/31/2024,Cus1033,East,1019,Shoes,5,15
8/31/2024,Cus1188,West,1020,Hat,7,50
1/31/2023,Cus1314,North,1001,Shirt,5,20
2/28/2023,Cus1440,South,1002,Shoes,10,50
3/31/2023,Cus1239,East,1003,Hat,7,15
4/30/2023,Cus1353,West,1004,Socks,3,5
5/31/2023,Cus1291,North,1005,Jacket,2,60
6/30/2023,Cus1096,South,1006,Gloves,8,25
7/31/2023,Cus1291,East,1007,Shirt,12,40
8/31/2023,Cus1347,West,1008,Shoes,4,15
9/30/2023,Cus1047,North,1009,Hat,7,10
10/31/2023,Cus1173,South,1010,Socks,9,30
11/30/2023,Cus1042,East,1011,Jacket,6,35
12/31/2023,Cus1106,West,1012,Gloves,5,20
1/31/2024,Cus1313,North,1013,Shirt,8,50
2/29/2024,Cus1241,South,1014,Shoes,10,60
3/31/2024,Cus1044,East,1015,Hat,11,10
4/30/2024,Cus1404,West,1016,Socks,4,20
5/31/2024,Cus1379,North,1017,Jacket,3,30
6/30/2024,Cus1344,South,1018,Gloves,12,25
7/31/2024,Cus1320,East,1019,Shoes,5,15
8/31/2024,Cus1119,West,1020,Hat,7,50
1/31/2023,Cus1180,North,1001,Shirt,5,20
2/28/2023,Cus1103,South,1002,Shoes,10,50
3/31/2023,Cus1162,East,1003,Hat,7,15
4/30/2023,Cus1489,West,1004,Socks,3,5
5/31/2023,Cus1141,North,1005,Jacket,2,60
6/30/2023,Cus1374,South,1006,Gloves,8,25
7/31/2023,Cus1006,East,1007,Shirt,12,40
8/31/2023,Cus1204,West,1008,Shoes,4,15
9/30/2023,Cus1183,North,1009,Hat,7,10
10/31/2023,Cus1041,South,1010,Socks,9,30
11/30/2023,Cus1489,East,1011,Jacket,6,35
12/31/2023,Cus1328,West,1012,Gloves,5,20
1/31/2024,Cus1500,North,1013,Shirt,8,50
2/29/2024,Cus1285,South,1014,Shoes,10,60
3/31/2024,Cus1154,East,1015,Hat,11,10
4/30/2024,Cus1298,West,1016,Socks,4,20
5/31/2024,Cus1418,North,1017,Jacket,3,30
6/30/2024,Cus1109,South,1018,Gloves,12,25
7/31/2024,Cus1333,East,1019,Shoes,5,15
8/31/2024,Cus1126,West,1020,Hat,7,50
1/31/2023,Cus1135,North,1001,Shirt,5,20
2/28/2023,Cus1179,South,1002,Shoes,10,50
3/31/2023,Cus1235,East,1003,Hat,7,15
4/30/2023,Cus1255,West,1004,Socks,3,5
5/31/2023,Cus1442,North,1005,Jacket,2,60
6/30/2023,Cus1293,South,1006,Gloves,8,25
7/31/2023,Cus1161,East,1007,Shirt,12,40
8/31/2023,Cus1173,West,1008,Shoes,4,15
9/30/2023,Cus1170,North,1009,Hat,7,10
10/31/2023,Cus1403,South,1010,Socks,9,30
11/30/2023,Cus1452,East,1011,Jacket,6,35
12/31/2023,Cus1159,West,1012,Gloves,5,20
1/31/2024,Cus1483,North,1013,Shirt,8,50
2/29/2024,Cus1146,South,1014,Shoes,10,60
3/31/2024,Cus1024,East,1015,Hat,11,10
4/30/2024,Cus1325,West,1016,Socks,4,20
5/31/2024,Cus1426,North,1017,Jacket,3,30
6/30/2024,Cus1230,South,1018,Gloves,12,25
7/31/2024,Cus1249,East,1019,Shoes,5,15
8/31/2024,Cus1120,West,1020,Hat,7,50
1/31/2023,Cus1180,North,1001,Shirt,5,20
2/28/2023,Cus1174,South,1002,Shoes,10,50
3/31/2023,Cus1069,East,1003,Hat,7,15
4/30/2023,Cus1113,West,1004,Socks,3,5
5/31/2023,Cus1091,North,1005,Jacket,2,60
6/30/2023,Cus1362,South,1006,Gloves,8,25
7/31/2023,Cus1436,East,1007,Shirt,12,40
8/31/2023,Cus1226,West,1008,Shoes,4,15
9/30/2023,Cus1361,North,1009,Hat,7,10
10/31/2023,Cus1487,South,1010,Socks,9,30
11/30/2023,Cus1487,East,1011,Jacket,6,35
12/31/2023,Cus1188,West,1012,Gloves,5,20
1/31/2024,Cus1245,North,1013,Shirt,8,50
2/29/2024,Cus1436,South,1014,Shoes,10,60
3/31/2024,Cus1211,East,1015,Hat,11,10
4/30/2024,Cus1164,West,1016,Socks,4,20
5/31/2024,Cus1098,North,1017,Jacket,3,30
6/30/2024,Cus1500,South,1018,Gloves,12,25
7/31/2024,Cus1409,East,1019,Shoes,5,15
8/31/2024,Cus1277,West,1020,Hat,7,50
1/31/2023,Cus1255,North,1001,Shirt,5,20
2/28/2023,Cus1436,South,1002,Shoes,10,50
3/31/2023,Cus1126,East,1003,Hat,7,15
4/30/2023,Cus1481,West,1004,Socks,3,5
5/31/2023,Cus1020,North,1005,Jacket,2,60
6/30/2023,Cus1224,South,1006,Gloves,8,25
7/31/2023,Cus1159,East,1007,Shirt,12,40
8/31/2023,Cus1216,West,1008,Shoes,4,15
9/30/2023,Cus1409,North,1009,Hat,7,10
10/31/2023,Cus1155,South,1010,Socks,9,30
11/30/2023,Cus1275,East,1011,Jacket,6,35
12/31/2023,Cus1137,West,1012,Gloves,5,20
1/31/2024,Cus1062,North,1013,Shirt,8,50
2/29/2024,Cus1126,South,1014,Shoes,10,60
3/31/2024,Cus1477,East,1015,Hat,11,10
4/30/2024,Cus1361,West,1016,Socks,4,20
5/31/2024,Cus1492,North,1017,Jacket,3,30
6/30/2024,Cus1171,South,1018,Gloves,12,25
7/31/2024,Cus1114,East,1019,Shoes,5,15
8/31/2024,Cus1492,West,1020,Hat,7,50
1/31/2023,Cus1165,North,1001,Shirt,5,20
2/28/2023,Cus1122,South,1002,Shoes,10,50
3/31/2023,Cus1067,East,1003,Hat,7,15
4/30/2023,Cus1267,West,1004,Socks,3,5
5/31/2023,Cus1322,North,1005,Jacket,2,60
6/30/2023,Cus1002,South,1006,Gloves,8,25
7/31/2023,Cus1117,East,1007,Shirt,12,40
8/31/2023,Cus1197,West,1008,Shoes,4,15
9/30/2023,Cus1190,North,1009,Hat,7,10
10/31/2023,Cus1302,South,1010,Socks,9,30
11/30/2023,Cus1174,East,1011,Jacket,6,35
12/31/2023,Cus1400,West,1012,Gloves,5,20
1/31/2024,Cus1336,North,1013,Shirt,8,50
2/29/2024,Cus1245,South,1014,Shoes,10,60
3/31/2024,Cus1221,East,1015,Hat,11,10
4/30/2024,Cus1117,West,1016,Socks,4,20
5/31/2024,Cus1334,North,1017,Jacket,3,30
6/30/2024,Cus1108,South,1018,Gloves,12,25
7/31/2024,Cus1291,East,1019,Shoes,5,15
8/31/2024,Cus1446,West,1020,Hat,7,50
1/31/2023,Cus1292,North,1001,Shirt,5,20
2/28/2023,Cus1300,South,1002,Shoes,10,50
3/31/2023,Cus1154,East,1003,Hat,7,15
4/30/2023,Cus1213,West,1004,Socks,3,5
5/31/2023,Cus1074,North,1005,Jacket,2,60
6/30/2023,Cus1376,South,1006,Gloves,8,25
7/31/2023,Cus1327,East,1007,Shirt,12,40
8/31/2023,Cus1103,West,1008,Shoes,4,15
9/30/2023,Cus1476,North,1009,Hat,7,10
10/31/2023,Cus1395,South,1010,Socks,9,30
11/30/2023,Cus1282,East,1011,Jacket,6,35
12/31/2023,Cus1470,West,1012,Gloves,5,20
1/31/2024,Cus1249,North,1013,Shirt,8,50
2/29/2024,Cus1064,South,1014,Shoes,10,60
3/31/2024,Cus1321,East,1015,Hat,11,10
4/30/2024,Cus1031,West,1016,Socks,4,20
5/31/2024,Cus1213,North,1017,Jacket,3,30
6/30/2024,Cus1406,South,1018,Gloves,12,25
7/31/2024,Cus1026,East,1019,Shoes,5,15
8/31/2024,Cus1436,West,1020,Hat,7,50
1/31/2023,Cus1021,North,1001,Shirt,5,20
2/28/2023,Cus1219,South,1002,Shoes,10,50
3/31/2023,Cus1499,East,1003,Hat,7,15
4/30/2023,Cus1486,West,1004,Socks,3,5
5/31/2023,Cus1457,North,1005,Jacket,2,60
6/30/2023,Cus1032,South,1006,Gloves,8,25
7/31/2023,Cus1169,East,1007,Shirt,12,40
8/31/2023,Cus1018,West,1008,Shoes,4,15
9/30/2023,Cus1159,North,1009,Hat,7,10
10/31/2023,Cus1190,South,1010,Socks,9,30
11/30/2023,Cus1375,East,1011,Jacket,6,35
12/31/2023,Cus1227,West,1012,Gloves,5,20
1/31/2024,Cus1041,North,1013,Shirt,8,50
2/29/2024,Cus1443,South,1014,Shoes,10,60
3/31/2024,Cus1216,East,1015,Hat,11,10
4/30/2024,Cus1081,West,1016,Socks,4,20
5/31/2024,Cus1160,North,1017,Jacket,3,30
6/30/2024,Cus1261,South,1018,Gloves,12,25
7/31/2024,Cus1133,East,1019,Shoes,5,15
8/31/2024,Cus1484,West,1020,Hat,7,50
1/31/2023,Cus1258,North,1001,Shirt,5,20
2/28/2023,Cus1428,South,1002,Shoes,10,50
3/31/2023,Cus1256,East,1003,Hat,7,15
4/30/2023,Cus1207,West,1004,Socks,3,5
5/31/2023,Cus1498,North,1005,Jacket,2,60
6/30/2023,Cus1042,South,1006,Gloves,8,25
7/31/2023,Cus1195,East,1007,Shirt,12,40
8/31/2023,Cus1321,West,1008,Shoes,4,15
9/30/2023,Cus1009,North,1009,Hat,7,10
10/31/2023,Cus1085,South,1010,Socks,9,30
11/30/2023,Cus1371,East,1011,Jacket,6,35
12/31/2023,Cus1197,West,1012,Gloves,5,20
1/31/2024,Cus1089,North,1013,Shirt,8,50
2/29/2024,Cus1141,South,1014,Shoes,10,60
3/31/2024,Cus1286,East,1015,Hat,11,10
4/30/2024,Cus1449,West,1016,Socks,4,20
5/31/2024,Cus1235,North,1017,Jacket,3,30
6/30/2024,Cus1047,South,1018,Gloves,12,25
7/31/2024,Cus1253,East,1019,Shoes,5,15
8/31/2024,Cus1288,West,1020,Hat,7,50
1/31/2023,Cus1156,North,1001,Shirt,5,20
2/28/2023,Cus1442,South,1002,Shoes,10,50
3/31/2023,Cus1496,East,1003,Hat,7,15
4/30/2023,Cus1007,West,1004,Socks,3,5
5/31/2023,Cus1095,North,1005,Jacket,2,60
6/30/2023,Cus1338,South,1006,Gloves,8,25
7/31/2023,Cus1368,East,1007,Shirt,12,40
8/31/2023,Cus1318,West,1008,Shoes,4,15
9/30/2023,Cus1486,North,1009,Hat,7,10
10/31/2023,Cus1141,South,1010,Socks,9,30
11/30/2023,Cus1182,East,1011,Jacket,6,35
12/31/2023,Cus1086,West,1012,Gloves,5,20
1/31/2024,Cus1333,North,1013,Shirt,8,50
2/29/2024,Cus1333,South,1014,Shoes,10,60
3/31/2024,Cus1332,East,1015,Hat,11,10
4/30/2024,Cus1497,West,1016,Socks,4,20
5/31/2024,Cus1129,North,1017,Jacket,3,30
6/30/2024,Cus1033,South,1018,Gloves,12,25
7/31/2024,Cus1445,East,1019,Shoes,5,15
8/31/2024,Cus1325,West,1020,Hat,7,50
1/31/2023,Cus1088,North,1001,Shirt,5,20
2/28/2023,Cus1176,South,1002,Shoes,10,50
3/31/2023,Cus1380,East,1003,Hat,7,15
4/30/2023,Cus1277,West,1004,Socks,3,5
5/31/2023,Cus1498,North,1005,Jacket,2,60
6/30/2023,Cus1215,South,1006,Gloves,8,25
7/31/2023,Cus1262,East,1007,Shirt,12,40
8/31/2023,Cus1003,West,1008,Shoes,4,15
9/30/2023,Cus1044,North,1009,Hat,7,10
10/31/2023,Cus1323,South,1010,Socks,9,30
11/30/2023,Cus1388,East,1011,Jacket,6,35
12/31/2023,Cus1020,West,1012,Gloves,5,20
1/31/2024,Cus1311,North,1013,Shirt,8,50
2/29/2024,Cus1322,South,1014,Shoes,10,60
3/31/2024,Cus1251,East,1015,Hat,11,10
4/30/2024,Cus1008,West,1016,Socks,4,20
5/31/2024,Cus1236,North,1017,Jacket,3,30
6/30/2024,Cus1354,South,1018,Gloves,12,25
7/31/2024,Cus1170,East,1019,Shoes,5,15
8/31/2024,Cus1498,West,1020,Hat,7,50
1/31/2023,Cus1375,North,1001,Shirt,5,20
2/28/2023,Cus1409,South,1002,Shoes,10,50
3/31/2023,Cus1324,East,1003,Hat,7,15
4/30/2023,Cus1076,West,1004,Socks,3,5
5/31/2023,Cus1110,North,1005,Jacket,2,60
6/30/2023,Cus1386,South,1006,Gloves,8,25
7/31/2023,Cus1237,East,1007,Shirt,12,40
8/31/2023,Cus1459,West,1008,Shoes,4,15
9/30/2023,Cus1427,North,1009,Hat,7,10
10/31/2023,Cus1467,South,1010,Socks,9,30
11/30/2023,Cus1206,East,1011,Jacket,6,35
12/31/2023,Cus1041,West,1012,Gloves,5,20
1/31/2024,Cus1438,North,1013,Shirt,8,50
2/29/2024,Cus1091,South,1014,Shoes,10,60
3/31/2024,Cus1101,East,1015,Hat,11,10
4/30/2024,Cus1486,West,1016,Socks,4,20
5/31/2024,Cus1303,North,1017,Jacket,3,30
6/30/2024,Cus1129,South,1018,Gloves,12,25
7/31/2024,Cus1057,East,1019,Shoes,5,15
8/31/2024,Cus1157,West,1020,Hat,7,50
1/31/2023,Cus1206,North,1001,Shirt,5,20
2/28/2023,Cus1351,South,1002,Shoes,10,50
